strict,answer,cost,items,max_cost,policy,store_budget
10.085134250163721,18.321678321678323,32691.1,249.9,32742,P0 sliding-window,32768
2.030124426981008,5.034965034965035,31806.2,19.1,32732,RAG store-all,32768
4.518664047151278,6.853146853146853,32403.6,26.0,32717,P1 threshold (merges),32768
5.435494433529797,15.104895104895105,31476.5,23.9,32578,P1-S select (drop),32768
6.024885396201703,7.2727272727272725,32166.8,26.0,32452,P1-A adaptive (compress),32768
10.085134250163721,18.321678321678323,63186.1,479.3,65529,P0 sliding-window,65536
5.566470203012443,11.048951048951048,64585.2,38.8,65447,RAG store-all,65536
8.578912901113293,11.608391608391608,64476.0,46.1,65507,P1 threshold (merges),65536
8.906352324819908,22.517482517482517,64688.9,43.7,65298,P1-S select (drop),65536
9.364767518009169,9.37062937062937,65078.0,46.9,65432,P1-A adaptive (compress),65536
10.085134250163721,18.321678321678323,77373.4,588.2,94722,P0 sliding-window,131072
11.26391617550753,20.0,130306.1,78.4,130869,RAG store-all,131072
13.621480026195155,19.16083916083916,89972.2,59.4,130853,P1 threshold (merges),131072
15.717092337917485,32.72727272727273,130393.9,82.7,131045,P1-S select (drop),131072
16.437459070072038,12.307692307692308,129972.6,88.1,130976,P1-A adaptive (compress),131072
10.085134250163721,18.321678321678323,77373.4,588.2,94722,P0 sliding-window,262144
20.956123117223314,33.00699300699301,261281.8,157.0,262058,RAG store-all,262144
14.407334643091026,20.55944055944056,99387.9,64.9,225010,P1 threshold (merges),262144
23.117223313686967,39.02097902097902,261374.0,161.3,262069,P1-S select (drop),262144
22.069417157825804,14.265734265734265,261280.3,171.5,261899,P1-A adaptive (compress),262144
10.085134250163721,18.321678321678323,77373.4,588.2,94722,P0 sliding-window,524288
36.41126391617551,50.349650349650354,523260.9,313.6,524153,RAG store-all,524288
14.407334643091026,20.55944055944056,99387.9,64.9,225010,P1 threshold (merges),524288
37.00065487884741,53.14685314685315,523450.7,319.7,524266,P1-S select (drop),524288
32.220039292730846,19.16083916083916,523448.6,338.1,524241,P1-A adaptive (compress),524288
