policy,budget,strict_recall,soft_recall,answer_recall,answer_n,avg_tokens,p95_latency_ms,n_questions,embedder,tokenizer
Full-context,0,1.0000,1.0000,1.0000,715,18959.3,0.414,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
Oracle,512,0.9987,0.9995,1.0000,715,64.7,0.007,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P0 sliding-window,512,0.0164,0.0192,0.0490,715,508.9,0.078,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P1 MemGate,512,0.0799,0.0985,0.1287,715,484.4,0.125,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
Oracle,1024,1.0000,1.0000,1.0000,715,65.1,0.005,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P0 sliding-window,1024,0.0432,0.0489,0.0909,715,1022.4,0.438,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P1 MemGate,1024,0.1061,0.1283,0.1692,715,899.9,0.416,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
Oracle,2048,1.0000,1.0000,1.0000,715,65.1,0.004,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P0 sliding-window,2048,0.1009,0.1137,0.1832,715,2046.8,0.311,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P1 MemGate,2048,0.1441,0.1732,0.2056,715,1423.2,1.092,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
Oracle,4096,1.0000,1.0000,1.0000,715,65.1,0.009,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P0 sliding-window,4096,0.1880,0.2176,0.3133,715,4094.2,0.115,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
P1 MemGate,4096,0.2030,0.2461,0.2503,715,2050.7,1.495,1527,all-MiniLM-L6-v2/384d,tiktoken/cl100k_base
