policy,budget,recall,hits,n,avg_tokens,max_tokens,p95_latency_ms
Full-context,1000000000,1.0000,40,40,5827.0,5827,0.050
Oracle,3200,1.0000,40,40,15.4,22,0.001
P0 sliding-window,200,0.0000,0,40,200.0,200,0.058
P1 MemGate,200,0.4750,19,40,176.4,182,40.159
P0 sliding-window,400,0.0500,2,40,398.0,398,0.123
P1 MemGate,400,0.4750,19,40,320.9,330,0.119
P0 sliding-window,800,0.1000,4,40,800.0,800,0.097
P1 MemGate,800,0.5500,22,40,503.2,509,0.060
P0 sliding-window,1600,0.2500,10,40,1598.0,1598,0.075
P1 MemGate,1600,0.5250,21,40,706.2,712,0.065
P0 sliding-window,3200,0.5750,23,40,3200.0,3200,0.103
P1 MemGate,3200,0.6000,24,40,1096.2,1102,0.090
